sha256,path,source,reason
609f895a483119f7c04b33456fc2c190f107a5dd179076250703c7b43a94f8b3,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_leaf_yellow_curl_virus/dscn1652cropped.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
aa37cb4e626c9ca86054d4e701cf588a78134526a285817f454af57a8de158c9,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_leaf_yellow_curl_virus/29994445671_b6914b44d0_b.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
8801389d787f9ddd62006e6f4d874f085f0fe5cb6a1ece4ed5ebb159c4df5865,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_leaf_yellow_curl_virus/36ca1410e232eec4a8003fe411246820.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
75ec9c9314a07b7610675ec4c8f16fc2d0c37370cee51db16e6856fd9af159fb,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_leaf_yellow_curl_virus/DSC_3019_320x209.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
dcca45cb6cf329c90a4e05747af3f37abd88d42f9a97a641bbb96853e38ae0fe,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_leaf_yellow_curl_virus/r_tomato.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
810149d0e1363f92d855bdd95054d9eb62be06f79bfa6aa07c65710139dcb55d,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_leaf_yellow_curl_virus/TYLCVDFerrinlr.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
fdb84aa6b584ecf65151e1682a0c6c2cee2fefb257851b21d43bb5550011bde8,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_leaf_yellow_curl_virus/8227475116_0d40e8f21c_b.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
b740cb9aa39a521b544c25b581c6c6f9f4a70f4467511e739920b262c17a4e68,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_leaf_yellow_curl_virus/1342017-162221-44540.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
b84c3a3d7e85450f1a10d9c3c0b0124a1dff13649d472d3717b99616ef249152,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_leaf_yellow_curl_virus/Tomato2.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
a9a2a8fb11e81b38fdf434db1711e1261d5e15033e3845ed58941affeacc84ba,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_leaf_yellow_curl_virus/tomato-plant-virus-tomato-yellow-leaf-curl-virus-tomato-plant-disease-mosaic-virus.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
8916a647f4ea7442da7bc43d260becd42ba28f05ae153aa49b382a2e2aa94275,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_leaf_yellow_curl_virus/18071.img.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
44334af721ac01e60cf42e1e0c83a047d25b63ce22bb8596b2af39da54ed6a89,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_leaf_yellow_curl_virus/534ddf3a932e62dd929a3ac1b29bfa29.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
f626f9c37fd1c411df46e626df1427b0bffad1128a47fce285cda22cdb1d2183,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_leaf_yellow_curl_virus/tj5itxzunn3k.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
f0a4a07ddc0a0b43e0a66ad62cd192d7f4e8f78cd4cb460078021645b98d464a,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_leaf_yellow_curl_virus/yellowing.JPG.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
6dbafce15afe0813748b17c8ed900c7145e4fd72ac946cb727252fb817d32e96,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/leafmoldtomato2.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
e47ce4513a2f26b7ec55004f6f3c275e7795409351678165c08050bba5a7b00b,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/tomato-gray-leaf-spot.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
a768de0b84132ff21b604b589ef946f285e1eed7cf21d9268ddaaaa403e8407b,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/BlackLeafMold2.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
68c5d0cd76cbfbcbe44491e3e7212a9399079950ed1df2d729fa4135e83c2f4f,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/leaf%2Binf%2B800%2B1.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
63eb462cf83384f1ad1fd64765df0b59753e8ccedbc36cacb342a10c8d3df573,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/leafmoldtomato1.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
db600d5a76cc60a041622eaf5e3fcef1c382fa333d8152865c4575eaa8db18a5,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/Botrytis-Tomato-Seedlings-2-copy-50QUALITY-17wck0d.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
18443210d12693afa5a4df7ec6676ff285a863ccac8f63eecc2602bc622ad598,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/tomato-leaf-mold.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
e029b8e06aa4de2d5b8587453303380815b5a297793173e813dd731150c07573,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/leaf_mold_nightshade2x500.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
f754e55bf878508c8b7a0cb15ef73fa25f70b5568f47f6d4ac0f4ca9b68c328e,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/leaf_mold_tomato7x1200.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
fe2e6650a1422bedbc672c152b4671a51f009bc5b98896b804362e01dc2887fd,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/tomato_leaf-mold_02_zoom.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
7755096395bf7e00c03264853e3acd5d5203f22dc2da02e70c6bac09596d3724,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/Fig.%2016_opt.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
3df2275e80d700298762ae93169425a6a5ead07ffc984cd4abe6d81c2c2e6f93,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/leaf_mold_tomato2x1200.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
3d1839351811b5cc8e6bbb53cc8c4b0c750e6c2bac8bff6c0d02c301a2b18b09,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/23633262_1572609386115825_1396180255_o.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
9ab59ab2c679f342e3cce8e3a036ad1ccf015252264c5c4ecf66db652637ca49,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/IMG_1261.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
e51e5a11fd5709e81adef5a174dd29c5120764553137df3595109b59883274b0,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/leaf_mold_tomato6x1200.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
acd3930fc33f62d33af4fe268ede6066da861853092e9ba7da185c83bb52c181,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/Fig.%2015_opta.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
eaf1614e496a4d6c7a7b1a5da9aa3320b01bcf4940acea3615e4267a8177de31,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/tomato-leaf-2.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
ac71819475c63357bfffabb92a3079f0babb01557473ecd1b160d4009e831064,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/leaf_mold_nightshade1x500.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
a61da56ecb8c4db718f66d972be6cd29341c5c5c0df420b2efa96eaa875fd2ef,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/leaf_mold_tomato4x1200.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
0cb0ed826c1d1c55835280d84dd79b98bc1204dae214cc9739ea4cb12913eef7,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/pm3.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
75beb9ea5411dd447e5ac6d5f8341df82804d76f1d15111725141638680dcadb,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/4118c92ffde66d327ee14e4023320bf7.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
881683b24a9d1ccdf9ebcf4b1a5a2f5815975cc08cfef9ccc974b63981173d51,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/23601051_1572608349449262_2029169498_o.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
d7d560e510e815fceafb25424b100f46f53d04f0b8cab467ceb1eb6dbf41a8e5,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/Leaf-mold-web.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
228fac94db46b83013f8d06726480691df0c29a16378f3aaf94b3d81aa232830,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/leaf_mold_tomato3x1200.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
11ecaa35428fa9c1b42bb47d0a8dc1ffcb5db1844982c9be082af5ba93be17a9,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/tomato_fulvia.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
e41457c4bf7071634a91f295557d590021c6adf453925dcb95fffd695277ea10,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/Leaf+mold+tomato+%25282%2529.JPG.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
396e4351c45aca6db4a6923cfdb793aec400bc69db7c30fdd5b5cfe1ccbbace2,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/TomatoLeafMold1-50QUALITY-16lgkq6.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
cece53c23f454f16e4102880bfd9eab48fe62880193220c046efc1035e59a32f,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/6032331.JPG.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
e325cdb6f13a021e0387accafe1b2069c8b6042d40b96b549277380bb6b47158,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/leaf_mold_tomato1x1200.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
63cca761de835f182d103c06b4b0d3158501fae619956acbd9976078b7f1a06d,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/dscn6690.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
d62b398631f1a94c65861102977640110cf393c473975ffc25528ed81bc493b9,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/tomato_leaf-mold_03_zoom.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
4888387b4021c7b46985345f9a42bcf3c3fea8d3469b45efbda18a92cec15a4e,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/leaf_mold_tomato5x1200.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
152eb12191682697b63611c371ad13853cd442dd0d1f0a4362219526ca629d96,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/GIVXB.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
93f16ef30627048c7e497502006a8eebe6bfd0f294195d889d5ae81a892a2c57,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/607-155-0.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
046e6b56037bf0dab9b6004db7401a42ef43e5c37982ee858c3d800bc4a04ef0,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_mold_leaf/Tomato+leaf+mold.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
375244fd47978c73c1c7da2afb50df359e8b496cb20500f09ed02fa984e3ad62,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_Early_blight_leaf/dscn3175.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
a218e87485e3460381942c140ec90e1015e08885f990d9271606b9a33b4c8d09,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_Early_blight_leaf/p1020083cs.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
0d2d54e20fec032f1a9da367df05eb364e42cf1f18f83c0be6e86ed09f9b9abf,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_Early_blight_leaf/tomatoblight.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
3152eb37a0a7f6e9b89d75f8bcef5d1dfe8306631fa4080a00fb0a0cd3ad05da,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_Early_blight_leaf/20080526-_DSC4211.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
912ce20afc0cc92d8a3a49bd4f708c5f6c49df69788aad15938b388c5d949d23,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_Early_blight_leaf/early-blight-in-high-tunnel-tomatoes-19tm74h.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
9650bd867d436b35710a6c8e5142baf3744910eee250372efe547f23d514980a,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_Early_blight_leaf/early_blight1-150x150.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
17af9b933a654e3c28adc7846816eac9a876183638fba8a86f339bfef2505f42,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_Early_blight_leaf/spotonleaf1.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
207e6d9c3b2fb702ac22d551d7add6f5df1dc20921f66ebbb25250d211e5aa4a,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_Early_blight_leaf/Diseased-Tomato-Plant.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
e6893f4af1ef2017d83bb63b027397b20d3d519592db2a46777b09d942786275,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_Early_blight_leaf/IMG_2436w.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
6c18b60079c57eaa5e1feddb4a11a1c7d9487ba083d81eaa66232f3b62c79d8c,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_Early_blight_leaf/early-blight-2x.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
a218e87485e3460381942c140ec90e1015e08885f990d9271606b9a33b4c8d09,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_Early_blight_leaf/EB_(972).jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
485aa250351c68755783b14c6f12a2360d984f9f887f3f09696cb32043360c82,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_Early_blight_leaf/gray-leaf-spot-300x225.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
7a4acf69b4c2e40021ae5c225a9e82b7a4d0a19977401033cff9c57771d3b439,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_Early_blight_leaf/p1020084s.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
dab4afc0ccde1fbb391f8c0e6f3da190ea3565eb66457ea7e2355f712c443e0e,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw_external/tomato_pakistan/Tomato Dataset/Dataset (raw)/Tomato_Early_blight_leaf/halleck_tomato_earlyblight__inline-half.jpg,tomato_pakistan,Duplicate SHA256 (matches V2 baseline or prior new image)
